"Response","ASC","Airline","Timezone"
"negative",100,"Virgin America","Pacific Time (US & Canada)"
"positive",100,"Virgin America","Quito"
"negative",75,"Virgin America","Pacific Time (US & Canada)"
"negative",100,"Virgin America","Pacific Time (US & Canada)"
"neutral",100,"Virgin America","Eastern Time (US & Canada)"
"positive",100,"Virgin America","Pacific Time (US & Canada)"
"neutral",75,"Virgin America","Central Time (US & Canada)"
"positive",100,"Virgin America","Atlantic Time (Canada)"
"positive",100,"Virgin America","Eastern Time (US & Canada)"
"neutral",75,"Virgin America","Eastern Time (US & Canada)"
"neutral",75,"Virgin America","Central Time (US & Canada)"
"negative",100,"Virgin America","Unknown"
"positive",100,"Virgin America","America/New_York"
"negative",100,"Virgin America","Mountain Time (US & Canada)"
"positive",75,"Virgin America","Pacific Time (US & Canada)"
"positive",100,"Virgin America","America/New_York"
"positive",100,"Virgin America","Pacific Time (US & Canada)"
"negative",100,"Virgin America","Unknown"
"negative",100,"Virgin America","Eastern Time (US & Canada)"
"neutral",100,"Virgin America","Eastern Time (US & Canada)"
"negative",100,"Virgin America","Unknown"
