"Response","tweets"
"negative"," united no they were to busy taking to each other and i needed to get to an audition "
"neutral"," usairways if there are empty first class seats on my flight at check in  why wouldn t i be automatically upgraded "
"positive"," southwestair  fortunemagazine congrats "
"neutral"," americanair 3127  just landed in lit "
"negative"," americanair  arminrosen  ggreenwald tell that piece of shit to get fucked    i ll fly exclusively with you for life   "
"neutral"," united how about 3659 yul ord "
"neutral"," jetblue have a cup coffee and relax while you check out the new deals and promotions at avon  twice a month at doug  dcoadavon"
"negative"," americanair your people on the phone can t see those  and to have it be over  800 difference  that s a poor process then   "
"neutral"," jetblue i did  they said not as of now  let s cross fingers it happens before departing"
"positive","  southwestair you ve got a mess here at dtw but your staff is doing great "
"negative"," americanair  derekc21   to my surprise  ba doesn t  have  me registered in the system   i was getting hopeful     lets step it up   okay  "
"negative"," southwestair no had to rebook my flight myself and am about to board in bham "
"negative"," usairways 24 hrs late flightr still not home  hotel  rental car etc with a 5 yr old  what happened to  customer service is our first priority "
"negative"," jetblue my flight 1318 is delayed and i am connecting from boston  is it possible to switch me to flight 118 so i can make my connection "
"neutral"," united can you tell me jet airways award availability "
"negative"," americanair follows the talent pm of  bdsm porn site http   t co uqgw6qsffu  new  economy dungeon  class coming  http   t co pl9sop5ihu"
"negative"," united you re missin the point  there was no  weather   you re lying  seats was broken  but u claim  weather  to get out of hotels  classy"
"neutral"," united thank you "
"positive"," southwestair you re my early frontrunner for best airline   oscars2016"
"negative"," americanair hi my flight to dfw 2463 was cancelled flightled tonight  called in and left my number for call back it s been 3hrs please help "
"negative"," americanair on feb  15th your rep gave me the record locator and told me i d be receiving an email with the itinerary and confirmation "
"negative"," usairways have had a medical issue late flight yesterday and need to change my flight today been on hold for an hour and still not through"
"positive"," usairways owes tammy from the winston salem call center for keeping me as a customer "
"negative"," americanair trying to find out if flight  340 dfw to hou is on tonight  exec platinum desk not calling back and online info not clear "
"neutral"," usairways can you add my ktn to an existing reservation "
"negative"," usairways flight 496  how are u going to compensate me for sitting on the tarmac for 90  mins and missing my phx   bos connection "
"negative"," jetblue thanks for making me miss an important dinner tonight  2 hr delay and now 20 min on tarmac     worst"
"neutral"," jetblue  drwinston001 i think we ll need a selfie as proof   "
"negative"," united its 2015 and no power outlets at the seats on a 6 hour flight to california  seriously  this is why airlines are failing   pathetic "
"negative"," united please get me off this plane  ua57"
"negative"," americanair can you help with my cancelled flightled flight    i d like to book another flight   i ve been on hold for 95 minutes and counting    "
"negative"," americanair 2 months and still no exec platinum member cards  what gives "
"negative"," usairways was on hold for four hours  never got connected  came to the airport and your rep essentially told me and everyone else to screw"
"negative"," usairways your whole handling of this was a joke boston logan had one little old lady one handling all the customers http   t co dh2rfuijyp"
"positive"," virginamerica love you guys  but pls get some direct routes las to aus "
"neutral"," jetblue hi guys  do you have a general enquires email address please  thanks david "
"neutral"," usairways would like to see you do similar in phl  http   t co n9vge2npib"
"negative"," united  1 2  thanks  but does not answer my question  i want to make a reservation over the phone in perth  hold for 24hrs  and have family"
"negative"," southwestair feeling very frustrated that i bought wifi onboard and can t load an email "
"negative"," united nonrefundable  hence i wrote  200  doesn t make sense for my 150 credit   nothanks"
"negative"," united somehow i knew that you d wait until i was airborne to respond   hacks  jokers  neveragain "
"neutral"," southwestair i am now a rapids rewards member  lovetotravel  chaching"
"negative"," southwestair i sent you my conf number yesterday "
"negative"," southwestair my flight is cancelled flightled due to weather  what next  "
"negative"," united your baggage person told me to go through  aircanada   they re handling my connecting flight "
"neutral"," united need help  never got tickets  conf  ggqzqd"
"negative"," united  perfectomobile huh   i have sent 16 crash reports in feb alone   8 in one day   only app i have that consistently crashes "
"neutral"," jetblue thank you  headed from lbc to oak  "
"neutral"," united did not get names   dallas flight and chicago"
"negative"," americanair they are giving cots to the people that did not get hotel rooms   that is terrible  "
"negative"," united 1k and had problem getting out of fll to iah  sent dm to you about making my connection  please let me know"
"positive"," southwestair great  thank you  best of luck dealing with this horrible winter "
"negative"," usairways 4 hours    4 hours    four hours   it s like this is a joke to you "
"neutral"," united what does dm the confirmation   mean   "
"positive"," jetblue thank you guys  brilliant customer service"
"negative"," united is the worst http   t co 27aitzl6nd"
"negative"," united broken light  35 mins to get bridge to gate  airplane parked wrong   bathroom not emptied last night    your airline in last 3 hrs"
"neutral"," usairways still just sitting here  nobody has said anything  what s up "
"neutral"," americanair could you check if there is swu  typo in last post  space on aa199 mxp jfk feb 28th  thanks"
"neutral"," southwestair it was 3472"
"negative"," usairways flight  703 philly   gt  mia  bwahahaha  delayed 5  hrs  were in the air 30 mins then turned back around   usairwaysfail"
"positive"," united i wanna be grand staff"
"neutral"," southwestair i m 30 mins out wait for me            "
"negative"," united my wife has been on the phone several times for past 3 days  with no result "
"negative"," usairways i have been on hold with your gold reservations line for over 3 hours now  flight cancelled flightled  trying to rebook "
"neutral"," southwestair can i take my electric skateboard on a domestic flight  if so  do same policies listed on your site for regular boards apply "
"positive"," usairways     i had exceptional service on flight  403 from ind to phx  "
"negative"," usairways this is dating back to nov  i have been sent back and forth between you and  edreams en  it s a disgrace "
"negative"," usairways disappointment  making own arrangements for me  amp  my sleeping toddler with zero assistance from usair is maddening "
"negative"," southwestair you re 4 4 on blowing it with your customer service  shotwest airlines "
"negative"," usairways the fact that you are making customers pay  15 to  choose  a seat and try to convince them using psychological tricks with colors"
"negative"," usairways   my email gets me a canned response that it takes 10 days for mileage to get credited     it s been three months and my miles"
"negative"," usairways as a member of the news media  the awful service of the last few days won t go unnoticed "
"positive"," virginamerica it was amazing  and arrived an hour early  you re too good to me "
"neutral"," jetblue when are you guys flying it froward in the bahamas "
"negative"," united worst service ever  denied access to our flight and then moved flight 6 times  how hard is it to schedule a gate   delta next time "
"negative"," southwestair wtf  my flight was delayed and then i go to board and my boarding pass has disappeared from the southwest app "
"negative"," jetblue been dealing with a cancelled flightled flight since last night  amp  was booked to a 6 15 flight wouldve at least liked to see ella perform lol"
"positive"," southwestair kudos for adding  passbook to your app  i love it "
"negative"," united but we are on all nippon now  booked by united to replace the one we missed  "
"neutral"," united turkish airlines rebooked us a united flight on our second leg from fra   gt  iad  is there any way to check if upgrades are available "
"negative"," usairways  phlairport always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour"
"positive"," southwestair i        you  the only airline that understands us military families and our unpredictable changes  pound it     "
"negative"," usairways i ve been trying for days   and i don t get hung up on until after i get through all the prompts   what am i to do  "
"negative"," united what about the poor customer service at checkin at kansas kci    that s it   "
"negative"," southwestair next once we arrived to atlanta  we waited a full hour before our luggage was placed on a carousel  one hour "
"negative"," americanair not sure what this means but son and i will certainly have operational needs for seats during flt  1679 next friday  yet   "
"positive"," americanair thanks  delivery status  "
"neutral"," americanair flight get me out of chicago "
"neutral","    united   addair  we hope you don t miss your connection  for help with re flight booking problems please follow us  amp  dm your confirmation   cp   done thx"
"negative"," united any chance you could help rebook   my flight cancelled flightled"
"neutral"," usairways  hutchinsjim yes  i made the flight and got my workout in too "
"positive"," southwestair you guys are so amazing for sending people to meet imagine dragons  destinationdragons     "
"negative"," usairways 4914 from phl to bgm  i cannot believe this has happened 2x in under two weeks "
"neutral"," southwestair done  sorry  i thought i was already "
"negative"," united that was the problem   we were being told the aircraft was on its way "
"negative"," usairways you see now that is a lie   they auto respond with insulting email   sucks"
"neutral"," united can you help me add my ktn to this reservation plz "
"negative"," jetblue is there an issue with your website and logging on   app too   i know i am entering info correctly but cannot sign in    "
"negative"," jetblue exactly why is my flight delayed  599 bdl to dca  can t seem to get an answer"
"negative"," jetblue shout out to the crew on flight 89 headed back to the big apple  they kept my glass half full the whole flight   jetbluejfk"
"neutral"," southwestair especially if it s your mom   ichangedyourdiaper"
"neutral","rt     jetblue  our fleet s on fleek  http   t co fraqdpkyga     hellobrittney "
"negative"," americanair seriously  i do not want to wait 24 hours for a flight when i have to prepare for a family funeral "
"positive","don t show these to larry fedora  rt  jetblue  our fleet s on fleek  http   t co qqlzk2jkzr"
"negative"," americanair while listening to a delay message on my phone  another delay message was coming in  get your shit together "
"negative"," americanair  united getting us to where we need to be  this is not acceptable  not to mention  cancelled flighting meetings interviews for my client"
"neutral"," jetblue don t worry  i m gonna share with my row      "
"positive"," southwestair thank you     bringbacktheluvtordu  miami  directflights"
"negative"," united on a 4 seg flt yvr to zurich  why would you credit all miles and but only 2 segs on full fare "
"negative"," americanair just want to thank you guys for the 27 hour delay for flight aa106 from jfk due to staff shortage and not weather      "
"neutral"," southwestair what is the status of the bag check area at ffl "
"positive"," united i left my comment with customer care  thanks for contacting me "
"neutral"," americanair probably had money on  bensonhenderson they said to hell with  cowboycerrone lol"
"negative"," usairways flt last nght cancelled flighted mech probs  flt this am cancelled flighted snow  finally on a flt home  1st cls empty  amp  they won t let me sit there"
"negative"," united we just left  flysfo  delayed   http   t co xzbajmiekx"
"neutral"," jetblue imma need the hook up tho"
"positive"," americanair  americanview sweet home chicago http   t co j6iclv8dts"
